Timestamp,Rotation (Degrees),Mars-Sun Angle (Degrees)
2024-11-17 00:00,0.0,4.433
2024-11-18 00:00,350.89,4.433
2024-11-19 00:00,341.78,4.424
2024-11-20 00:00,332.68,4.417
2024-11-21 00:00,323.57,4.413
2024-11-22 00:00,314.46,4.422
2024-11-23 00:00,305.35,4.432
2024-11-24 00:00,296.24,4.444
2024-11-25 00:00,287.14,4.457
2024-11-26 00:00,278.03,4.463
2024-11-27 00:00,268.92,4.474
2024-11-28 00:00,259.81,4.483
2024-11-29 00:00,250.7,4.486
2024-11-30 00:00,241.6,4.493
2024-12-01 00:00,232.49,4.505
2024-12-02 00:00,223.38,4.513
2024-12-03 00:00,214.27,4.504
2024-12-04 00:00,205.16,4.5
2024-12-05 00:00,196.06,4.489
2024-12-06 00:00,186.95,4.482
2024-12-07 00:00,177.84,4.477
2024-12-08 00:00,168.73,4.49
2024-12-09 00:00,159.62,4.495
2024-12-10 00:00,150.52,4.479
2024-12-11 00:00,141.41,4.469
2024-12-12 00:00,132.3,4.475
2024-12-13 00:00,123.19,4.482
2024-12-14 00:00,114.08,4.463
2024-12-15 00:00,104.98,4.442
2024-12-16 00:00,95.87,4.436
2024-12-17 00:00,86.76,4.417
